index,veracity,title
100000,false,"""Spraying chlorine or alcohol on the skin kills viruses in the body"""
100001,false,"""Only older adults and young people are at risk"""
100002,false,"""Children cannot get COVID-19"""
100003,false,"""COVID-19 is just like the flu"""
100004,false,"""Everyone with COVID-19 dies"""
100005,false,"""Cats and dogs spread coronavirus"""
100006,false,"""Face masks always protect against coronavirus"""
100007,false,"""Hand dryers kill coronavirus"""
100008,false,"""SARS-CoV-2 is just a mutated form of the common cold"""
100009,false,"""You have to be with someone for 10 minutes to catch the virus"""
100010,false,"""Rinsing the nose with saline protects against coronavirus"""
100011,false,"""You can protect yourself by gargling bleach"""
100012,false,"""Antibiotics kill coronavirus"""
100013,false,"""Thermal scanners can diagnose coronavirus"""
100014,false,"""Garlic protects against coronaviruses"""
100015,false,"""Parcels from China can spread coronavirus"""
100016,false,"""Home remedies can cure and protect against COVID-19"""
100017,false,"""You can catch coronavirus from eating Chinese food in the US"""
100018,false,"""You can catch coronavirus from urine and feces"""
100019,false,"""The virus will die off when temperatures rise in the spring"""
100020,false,"""Coronavirus is the deadliest virus known to humans"""
100021,false,"""Flu and pneumonia vaccines can protect against COVID-19"""
100022,false,"""The virus originated in a laboratory in China"""
100023,false,"""The outbreak began because people ate bat soup"""
100024,false,"""5G helps SARS-CoV-2 spread"""
100025,false,"""Drinking alcohol reduces the risk of infection"""
100026,false,"""Injecting or consuming bleach or disinfectant kills the virus"""
100000,true,"""How large does a meeting or event need to be in order to be a “mass gathering”?"""
100001,true,"""Does WHO recommend that all international mass gatherings be cancelled because of COVID-19?"""
100002,true,"""What factors should organizers and health authorities look at when assessing whether the risks are acceptable or not?"""
100003,true,"""What if my organization does not have the expertise to assess the risks COVID-19 poses for our planned mass gathering?"""
100004,true,"""If we go ahead with an international mass gathering, what can we do to reduce the risk of participants catching COVID-19?"""
100005,true,"""Where can I find more advice on assessing and managing health risks around international mass gatherings?"""
100006,true,"""What should be the criteria for excluding an athlete or other accredited participant from competing?"""
100007,true,"""Should event organizers arrange screening at venues beyond national government requirements for point of entry (PoE)?"""
100008,true,"""Should event organizers provide COVID-19 testing?"""
100009,true,"""Are there additional safeguards event organizers can implement or recommend to athletes/officials/visitors in the context of COVID-19?"""
100010,true,"""What are the risks arising from public transport to the venue(s)?"""
100011,true,"""What is a coronavirus?"""
100012,true,"""What is COVID-19?"""
100013,true,"""What are the symptoms of COVID-19?"""
100014,true,"""How does COVID-19 spread?"""
100015,true,"""Can the virus that causes COVID-19 be transmitted through the air?"""
100016,true,"""Can CoVID-19 be caught from a person who has no symptoms?"""
100017,true,"""Can I catch COVID-19 from the feces of someone with the disease?"""
100018,true,"""What can I do to protect myself and prevent the spread of disease?"""
100019,true,"""How likely am I to catch COVID-19?"""
100020,true,"""Should I worry about COVID-19?"""
100021,true,"""Who is at risk of developing severe illness?"""
100022,true,"""Are antibiotics effective in preventing or treating the COVID-19?"""
100023,true,"""Are there any medicines or therapies that can prevent or cure COVID-19?"""
100024,true,"""Is there a vaccine, drug or treatment for COVID-19?"""
100025,true,"""Is COVID-19 the same as SARS?"""
100026,true,"""Should I wear a mask to protect myself?"""
100027,true,"""How to put on, use, take off and dispose of a mask?"""
100028,true,"""How long is the incubation period for COVID-19?"""
100029,true,"""Can humans become infected with the COVID-19 from an animal source?"""
100030,true,"""Can I catch COVID-19 from my pet?"""
100031,true,"""How long does the virus survive on surfaces?"""
100032,true,"""Is it safe to receive a package from any area where COVID-19 has been reported?"""
100033,true,"""Is there anything I should not do?"""
100034,true,"""Is the source of the coronavirus causing COVID-19 known?"""
100035,true,"""How did the first human SARS-CoV-2 infections occur?"""
100036,true,"""Can COVID-19 be spread through coins and banknotes?"""
100037,true,"""How can I grocery shop safely in the time of COVID-19?"""
100038,true,"""How to wash fruits and vegetables in the time of COVID-19?"""
100039,true,"""Is COVID-19 airborne?"""
100040,true,"""Is contraception/ family planning safe to use during the COVID-19 pandemic?"""
100041,true,"""I want to avoid getting pregnant during the COVID-19 pandemic. What can I do?"""
100042,true,"""I can’t access my contraceptive method of choice. What do you advise?"""
100043,true,"""What is the best contraceptive method to use during the COVID-19 pandemic?"""
100044,true,"""I want to change my contraceptive method – is this possible?"""
100045,true,"""I want to remove or replace my implant or IUD – can I do this during COVID-19 pandemic?"""
100046,true,"""Why is providing contraception/ family planning, as well as family planning services and information, important during the COVID-19 pandemic?"""
100047,true,"""I am a policy maker. What can I do to make sure people can access contraception and family planning information and services?"""
